Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
1022,LIBAS.NS,Libas Consumer Products Limited,Others,Others
1023,LIBERTSHOE.NS,Liberty Shoes Limited,Others,Others
1024,LICHSGFIN.NS,LIC Housing Finance Limited,Financial Services,Financial Services
1025,LICI.NS,Life Insurance Corporation Of India,Financial Services,Financial Services
1026,LIKHITHA.NS,Likhitha Infrastructure Limited,Others,Others
1027,LINC.NS,Linc Limited,Others,Others
1028,LINCOLN.NS,Lincoln Pharmaceuticals Limited,Others,Others
1029,LINDEINDIA.NS,Linde India Limited,Chemicals,Chemicals
1030,LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED,Capital Goods,Capital Goods
1031,LLOYDSME.NS,Lloyds Metals And Energy Limited,Metals & Mining,Metals & Mining
1032,LODHA.NS,Macrotech Developers Limited,Realty,Realty
1033,LOKESHMACH.NS,Lokesh Machines Limited,Others,Others
1034,LORDSCHLO.NS,Lords Chloro Alkali Limited,Others,Others
1035,LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited,Others,Others
1036,LOVABLE.NS,Lovable Lingerie Limited,Others,Others
1037,LOYALTEX.NS,Loyal Textile Mills Limited,Others,Others
1038,LPDC.NS,Landmark Property Development Company Limited,Others,Others
1039,LT.NS,Larsen & Toubro Limited,Construction,Construction
1040,LTF.NS,L&T Finance Limited,Financial Services,Financial Services
1041,LTFOODS.NS,LT Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods
1042,LTIM.NS,LTIMindtree Limited,Information Technology,Information Technology
1043,LTTS.NS,L&T Technology Services Limited,Information Technology,Information Technology
1044,LUMAXIND.NS,Lumax Industries Limited,Others,Others
1045,LUMAXTECH.NS,Lumax Auto Technologies Limited,Others,Others
1046,LUPIN.NS,Lupin Limited,Healthcare,Healthcare
1047,LUXIND.NS,Lux Industries Limited,Textiles,Textiles
1048,LXCHEM.NS,Laxmi Organic Industries Limited,Chemicals,Chemicals
1049,LYKALABS.NS,Lyka Labs Limited,Others,Others
1050,LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited,Others,Others
1051,M&M.NS,Mahindra & Mahindra Limited,Automobile and Auto Components,Automobile and Auto Components
1052,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,Financial Services
1053,MAANALU.NS,Maan Aluminium Limited,Others,Others
1054,MACPOWER.NS,Macpower CNC Machines Limited,Others,Others
1055,MADHAV.NS,Madhav Marbles and Granites Limited,Others,Others
1056,MADHUCON.NS,Madhucon Projects Limited,Others,Others
1057,MADRASFERT.NS,Madras Fertilizers Limited,Others,Others
1058,MAGADSUGAR.NS,Magadh Sugar & Energy Limited,Others,Others
1059,MAGNUM.NS,Magnum Ventures Limited,Others,Others
1060,MAHABANK.NS,Bank of Maharashtra,Financial Services,Financial Services
1061,MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,Others,Others
1062,MAHASTEEL.NS,Mahamaya Steel Industries Limited,Others,Others
1063,MAHEPC.NS,Mahindra EPC Irrigation Limited,Others,Others
1064,MAHESHWARI.NS,Maheshwari Logistics Limited,Others,Others
1065,MAHLIFE.NS,Mahindra Lifespace Developers Limited,Realty,Realty
1066,MAHLOG.NS,Mahindra Logistics Limited,Services,Services
1067,MAHSCOOTER.NS,Maharashtra Scooters Limited,Others,Others
1068,MAHSEAMLES.NS,Maharashtra Seamless Limited,Capital Goods,Capital Goods
1069,MAITHANALL.NS,Maithan Alloys Limited,Metals & Mining,Metals & Mining
1070,MALLCOM.NS,Mallcom (India) Limited,Others,Others
1071,MALUPAPER.NS,Malu Paper Mills Limited,Others,Others
